SessionID,Name,Description,Severity,Line,Column,ParentFile,Code
b414afdb-eccd-4ca8-a4be-b9922ead01f0,Sequence warning,GENERATED BY DEFAULT,Low,4,21,CLI_ORA/Source_Code.sql,MSCEWI1048
b414afdb-eccd-4ca8-a4be-b9922ead01f0,Transaction control statement requires additional intervention,COMMIT STATEMENT REQUIRES ADDITIONAL INTERVENTION,Medium,37,3,CLI_ORA/Source_Code.sql,MSCEWI3111
b414afdb-eccd-4ca8-a4be-b9922ead01f0,Transaction control statement requires additional intervention,COMMIT STATEMENT REQUIRES ADDITIONAL INTERVENTION,Medium,59,3,CLI_ORA/Source_Code.sql,MSCEWI3111
