PartitionKey,FileType,ObjectName,HighLevelObject,ObjectDB,FileName,LineNumber,LinesOfCode,EWIsNumber,HighestEWISeverity,UDFsUsed,EWIs,CharacterCount,ConversionStatus,CharacterConversionPercentage,LoCConversionPercentage
b414afdb-eccd-4ca8-a4be-b9922ead01f0,SQL,11,CALL,<NoDB>.<NoSchema>.<NoPackage>,CLI_ORA/Source_Code.sql,64,1,0,,,,105,Success,100%,100%
b414afdb-eccd-4ca8-a4be-b9922ead01f0,SQL,8,CALL,<NoDB>.<NoSchema>.<NoPackage>,CLI_ORA/Source_Code.sql,42,1,0,,,,101,Success,100%,100%
b414afdb-eccd-4ca8-a4be-b9922ead01f0,SQL,4,INSERT,<NoDB>.<NoSchema>.<NoPackage>,CLI_ORA/Source_Code.sql,19,1,0,,,,135,Success,100%,100%
b414afdb-eccd-4ca8-a4be-b9922ead01f0,SQL,3,INSERT,<NoDB>.<NoSchema>.<NoPackage>,CLI_ORA/Source_Code.sql,17,1,0,,,,141,Success,100%,100%
b414afdb-eccd-4ca8-a4be-b9922ead01f0,SQL,2,INSERT,<NoDB>.<NoSchema>.<NoPackage>,CLI_ORA/Source_Code.sql,15,1,0,,,,137,Success,100%,100%
b414afdb-eccd-4ca8-a4be-b9922ead01f0,SQL,1,INSERT,<NoDB>.<NoSchema>.<NoPackage>,CLI_ORA/Source_Code.sql,13,1,0,,,,136,Success,100%,100%
